CK   PC+4_pID     IR_reg    sext_imm  Rs,Rt,Rd,Funct RegWrite,RsEqRt ALUsrcB,ALUOP  A_reg      B_reg    sext_imm_reg  ALU_output   ALUout_reg  B_reg_pMEM  MEMwr,Mem2reg,   MDR_reg  ALUout_reg_pWB GPR_wr_data
       rdbk0       rdbk1       rdbk2       rdbk3       	  rdbk4     Funct_pEX      rdbk6       rdbk7          rdbk8       rdbk9       rdbk10       rdbk11  RegWr,Rd[MEM&WB]  rdbk13      rdbk14       rdbk15      
24  x"0040005C" x"2005FFFF" x"FFFFFFFF" x"00051F3F"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000104" x"00000000" x"FFFF0000" x"FFFF0000
25  x"00400060" x"3484FFFF" x"0000FFFF" x"04041F3F"     x"10000001" x"1000003F" x"00000000" x"00000000"     x"FFFFFFFF" x"FFFFFFFF" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
26  x"00400064" x"00000000" x"00000000" x"00000000"     x"10000001" x"1000033F" x"FFFF0000" x"FFFF0000"     x"0000FFFF" x"FFFFFFFF" x"FFFFFFFF" x"00000000"     x"01050100" x"00000000" x"00000000" x"00000000
27  x"00400068" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"FFFFFFFF" x"FFFF0000"     x"01040105" x"00000000" x"FFFFFFFF" x"FFFFFFFF
28  x"0040006C" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000104" x"00000000" x"FFFFFFFF" x"FFFFFFFF
29  x"00400070" x"14850046" x"00000046" x"04050006"     x"00000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
30  x"00400074" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000106" x"FFFFFFFF" x"FFFFFFFF"     x"00000046" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
31  x"00400078" x"3C06FFFF" x"FFFF0000" x"00061F3F"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"FFFFFFFF"     x"00050100" x"00000000" x"00000000" x"00000000
32  x"00400078" x"3C06FFFF" x"FFFF0000" x"00061F3F"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"FFFFFFFF"     x"00050100" x"00000000" x"00000000" x"00000000
33  x"0040007C" x"00000000" x"00000000" x"00000000"     x"10000001" x"1000003F" x"00000000" x"00000000"     x"FFFF0000" x"FFFF0000" x"00000000" x"00000000"     x"01000005" x"00000000" x"00000000" x"00000000
34  x"00400080" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"FFFF0000" x"00000000"     x"01060100" x"00000000" x"00000000" x"00000000
35  x"00400084" x"2007FFFF" x"FFFFFFFF" x"00071F3F"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000106" x"00000000" x"FFFF0000" x"FFFF0000
36  x"00400088" x"20C6FFFF" x"FFFFFFFF" x"06061F3F"     x"10000001" x"1000003F" x"00000000" x"00000000"     x"FFFFFFFF" x"FFFFFFFF" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
37  x"0040008C" x"00000000" x"00000000" x"00000000"     x"10000001" x"1000003F" x"FFFF0000" x"FFFF0000"     x"FFFFFFFF" x"FFFEFFFF" x"FFFFFFFF" x"00000000"     x"01070100" x"00000000" x"00000000" x"00000000
38  x"00400090" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"FFFEFFFF" x"FFFF0000"     x"01060107" x"00000000" x"FFFFFFFF" x"FFFFFFFF
39  x"00400094" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000106" x"00000000" x"FFFEFFFF" x"FFFEFFFF
40  x"00400098" x"10C7003E" x"0000003E" x"0607003E"     x"00000000" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
41  x"0040009C" x"00461020" x"00001020" x"02060220"     x"10000000" x"0000013E" x"FFFEFFFF" x"FFFFFFFF"     x"0000003E" x"FFFF0000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
42  x"004000A0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000220" x"00010000" x"FFFEFFFF"     x"00001020" x"FFFFFFFF" x"FFFF0000" x"FFFFFFFF"     x"00070100" x"00000000" x"00000000" x"00000000
43  x"004000A4" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"FFFFFFFF" x"FFFEFFFF"     x"01020007" x"00000000" x"FFFF0000" x"FFFF0000
44  x"004000A8" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000102" x"00000000" x"FFFFFFFF" x"FFFFFFFF
45  x"004000AC" x"1445003B" x"0000003B" x"0205003B"     x"00000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
46  x"004000B0" x"00000000" x"00000000" x"00000000"     x"10000001" x"0000013B" x"FFFFFFFF" x"FFFFFFFF"     x"0000003B" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
47  x"004000B4" x"3C080040" x"00400000" x"00080000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"FFFFFFFF"     x"00050100" x"00000000" x"00000000" x"00000000
48  x"004000B8" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000000" x"00000000" x"00000000"     x"00400000" x"00400000" x"00000000" x"00000000"     x"01000005" x"00000000" x"00000000" x"00000000
49  x"004000BC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00400000" x"00000000"     x"01080100" x"00000000" x"00000000" x"00000000
50  x"004000C0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000108" x"00000000" x"00400000" x"00400000
51  x"004000C4" x"210800F0" x"000000F0" x"08080030"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
52  x"004000C8" x"00000000" x"00000000" x"00000000"     x"10000001" x"10000030" x"00400000" x"00400000"     x"000000F0" x"004000F0" x"00000000" x"00000000"     x"01000100" x"00000000" x"00000000" x"00000000
53  x"004000CC" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"004000F0" x"00400000"     x"01080100" x"00000000" x"00000000" x"00000000
54  x"004000D0" x"00000000" x"00000000" x"00000000"     x"10000001" x"00000200" x"00000000" x"00000000"     x"00000000" x"00000000" x"00000000" x"00000000"     x"01000108" x"00000000" x"004000F0" x"004000F0
